Country,Age,isbn,average_rating,original_publication_year,title,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,price
 usa,54,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,38,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,36,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,43,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,25,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,49,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 france,41,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,53,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,37,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,32,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,42,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,43,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 united kingdom,29,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,39,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 australia,32,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,26,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,36,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,31,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,28,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,29,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,27,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,20,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,36,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 germany,27,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,49,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,47,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,27,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,54,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,28,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,47,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,42,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,34,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 france,24,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,35,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,25,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,46,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,53,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 united kingdom,34,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,26,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,34,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,40,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 malaysia,33,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,45,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,28,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,47,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,18,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 france,36,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,32,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 canada,39,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,29,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,41,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,14,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 switzerland,40,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,43,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,17,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,57,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,38,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,47,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,30,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,50,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 canada,53,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,38,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 canada,28,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,29,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,42,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 australia,26,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,18,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,25,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,40,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,26,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,46,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,46,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,53,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,25,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,35,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,37,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,44,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,36,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 canada,29,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,32,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,31,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,34,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,47,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,28,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,33,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 canada,24,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,47,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 portugal,26,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,25,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,67,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,44,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,71,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,33,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,61,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,27,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,27,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,28,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 canada,30,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 australia,53,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 portugal,29,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 australia,35,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,57,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,38,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,29,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,36,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 finland,31,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,54,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,41,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,34,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,3,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,41,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,33,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 canada,39,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,37,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 portugal,52,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,32,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,47,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 iran,23,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,57,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,34,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 australia,42,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,57,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,23,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,52,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 portugal,49,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,44,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,35,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,34,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,30,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,33,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 belgium,28,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,51,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 united kingdom,44,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,26,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,36,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,35,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 australia,21,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 germany,23,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,24,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,62,038572179X,3.88,2001.0,Atonement,347006,11473,25462,77135,134788,116800,5.28
 usa,24,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,48,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,41,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,26,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,34,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,30,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,26,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,34,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,40,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,18,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,19,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,36,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,43,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 italy,21,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,45,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,20,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,29,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 italy,28,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 portugal,32,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 canada,61,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,28,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,22,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,22,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,23,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,34,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,28,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,36,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,30,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,23,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,30,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,35,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,40,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 canada,36,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,36,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,31,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,45,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,27,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,32,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,24,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,27,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,24,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,36,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,44,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,53,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,28,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,28,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 portugal,32,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,30,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,35,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,51,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 united kingdom,22,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 germany,26,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,30,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,38,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,17,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,29,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,30,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,39,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,34,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,29,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,28,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,38,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,27,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,29,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,36,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,17,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,25,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,35,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 canada,31,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 spain,39,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,20,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,25,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,31,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,27,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,29,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 usa,32,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
 united kingdom,34,014028009X,3.75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",736498,28973,59309,198555,254836,212825,14.07
