"","title","avg_rating","genres","author","num_pages","price","publish_date","rating_1","rating_2","rating_3","rating_4","rating_5","review"
"15","The Gormenghast Novels",3.99,"Fantasy, Classics, Gothic, Fiction","Mervyn Peake",1173,"29.95","12/26/95",376,538,1243,2370,3340,1573
"16","Nine Stories",4.19,"American, Classics, Fiction, Short Stories, Literature","J.D. Salinger",198,"15","1/30/01",1504,3817,19674,44123,55488,24921
"17","Richard III",3.93,"Drama, Classics, Fiction, Plays","William Shakespeare",414,"10.95","5/17/01",598,2497,9287,13802,13198,7876
"18","The Pillars of the Earth",4.31,"Fiction, Historical Fiction, Historical","Ken Follett",973,"22","2/4/02",10663,18978,64829,168947,310372,114758
"19","Corelli's Mandolin",3.97,"Historical Fiction, Historical, Classics, Romance, Fiction, War","Louis de BerniíÂres",437,"16.95","8/29/95",1822,4216,13874,25480,25419,14162
"20","Ugly Love",4.27,"New Adult, Contemporary Romance, Contemporary, Romance","Colleen Hoover",337,"16","8/5/14",2502,5558,17895,40889,75222,28413
"21","The Five People You Meet in Heaven",3.92,"Fiction, Inspirational, Contemporary, Fantasy","Mitch Albom",196,"16","9/23/03",13196,35739,116197,171726,185153,104402
"22","The Alienist",4.06,"Historical Fiction, Mystery, Historical, Mystery Thriller, Fiction, Crime, Thriller","Caleb Carr",498,"16","10/24/06",2137,5607,23370,48445,48551,25622
"23","The Kitchen House",4.19,"Historical, Book Club, Fiction, Historical Fiction","Kathleen Grissom",369,"16.99","2/2/10",2135,6488,29595,81888,88589,41739
"24","A Walk to Remember",4.16,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction, Young Adult","Nicholas Sparks",240,"8.99","9/1/04",11245,25386,99831,181165,282487,120023
"25","The Truth About Forever",4.13,"Fiction, Young Adult, Contemporary, Romance","Sarah Dessen",374,"10.99","5/11/04",2912,8126,35713,64576,86344,39534
"26","Angels & Demons",3.88,"Fiction, Mystery, Thriller, Suspense","Dan Brown",736,"9.99","4/1/06",85649,158546,507168,812994,801802,473232
"27","The Pearl",3.45,"Academic, School, Classics, Fiction, Literature","John Steinbeck",96,"15","1/8/02",9605,20143,54732,53578,30645,33741
"28","Midnight in the Garden of Good and Evil",3.91,"Crime, True Crime, Nonfiction, Mystery","John Berendt",386,"16.95","6/28/99",2592,10061,47249,79138,57991,39406
"29","The Lost Colony",4,"Fantasy, Fiction, Science Fiction, Young Adult","Eoin Colfer",385,"16.95","9/15/06",4079,6601,28251,48190,53429,28110
"30","The Song of Achilles",4.32,"LGBT, Historical Fiction, Historical, Romance, Fiction, Mythology, Fantasy","Madeline Miller",352,"43.5","9/20/11",1711,3426,13638,36084,63642,23700
"31","Before I Go to Sleep",3.89,"Mystery, Suspense, Thriller, Fiction","S.J. Watson",359,"25.99","6/14/11",4355,14318,59753,99875,72946,50249
"32","Atonement",3.89,"Historical Fiction, Historical, Classics, Romance, Fiction","Ian McEwan",351,"16.95","3/26/03",12191,27215,83399,147641,130601,80209
"33","The Left Hand of Darkness",4.06,"Science Fiction, Classics, Fiction, Fantasy","Ursula K. Le Guin",304,"9.99","7/1/00",1490,4585,17642,36146,37051,19383
"34","Fahrenheit 451",3.98,"Fiction, Dystopia, Classics, Science Fiction","Ray Bradbury",227,"8.95","3/28/13",32833,75293,278634,506007,503078,279169
"35","Rebecca",4.22,"Mystery, Classics, Romance, Fiction, Gothic","Daphne du Maurier",449,"15.99","12/17/13",5123,12310,55695,130767,180239,76827
"36","The Scarlet Letter",3.39,"Academic, Historical Fiction, Historical, School, Classics, Fiction","Nathaniel Hawthorne",279,"8","2/27/03",38819,88814,204456,187309,112712,126422
"37","Wool Omnibus",4.24,"Fiction, Dystopia, Apocalyptic, Science Fiction, Post Apocalyptic","Hugh Howey",509,"15.99","1/25/12",1345,4131,18478,53689,64196,28368
"38","Contact",4.13,"Science Fiction, Fiction","Carl Sagan",580,"16","8/28/97",984,3683,19703,40601,44011,21796
"39","The Wedding",3.98,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction","Nicholas Sparks",276,"8.99","8/1/05",2206,7993,29759,41815,50272,26409
"40","A Tree Grows in Brooklyn",4.26,"Historical Fiction, Historical, Classics, Fiction, Young Adult","Betty  Smith",496,"$94.80","5/30/06",4013,10388,47367,114903,168301,68994
"41","My íÅntonia",3.78,"Historical Fiction, Historical, Classics, Fiction, Literature","Willa Cather",232,"$97.78","2/20/00",3880,9027,26881,39385,32014,22237
"42","Bridget Jones's Diary",3.76,"Humor, Contemporary, Womens Fiction, Chick Lit, Romance, Fiction","Helen Fielding",288,"$11.11","6/1/99",31879,63635,213520,278142,240323,165500
"43","Sons and Lovers",3.62,"Romance, English Literature, Fiction, 20th Century, Literature, European Literature, Banned Books, British Literature, Novels, Classics, Classic Literature","D.H. Lawrence",654,"$16.81","8/17/99",1564,4233,12751,14932,9567,8609
"44","The Martian Chronicles",4.13,"Science Fiction, Classics, Short Stories, Fiction","Ray Bradbury",182,"$60.00","6/1/84",1942,6674,32409,65950,76077,36610
"45","Kane and Abel",4.29,"Historical Fiction, Historical, Drama, Fiction, Thriller","Jeffrey Archer",592,"$18.99","3/13/04",692,2031,11621,31660,43536,17908
"46","Night Watch",4.49,"Fiction, Humor, Science Fiction Fantasy, Fantasy","Terry Pratchett",480,"$24.99","10/27/11",243,764,7567,26384,52292,17450
"47","Night Watch",3.98,"Fiction, Fantasy, Paranormal, Urban Fantasy, Horror, Vampires","Sergei Lukyanenko",455,"$24.99","7/1/06",602,2006,7534,14671,12555,7474
"48","The Daughter of Time",3.94,"Mystery, Fiction, Historical Fiction, Historical, Crime","Josephine Tey",206,"$6.84","11/29/95",387,1267,4500,7718,6908,4156
"49","Wicked: The Life and Times of the Wicked Witch of the West",3.53,"Fiction, Adult, Fantasy","Gregory Maguire",406,"$11.37","4/26/00",41736,67752,136888,159938,139146,109092
"50","I've Got Your Number",3.94,"Romance, Womens Fiction, Contemporary, Fiction, Humor, Chick Lit","Sophie Kinsella",433,"$200.00","2/14/12",3872,8958,38301,64880,56798,34562
"51","The Poisonwood Bible",4.05,"Africa, Historical Fiction, Historical, Cultural, Classics, Fiction","Barbara Kingsolver",546,"$5.99","7/5/05",22245,35308,98336,190004,264185,122016
"52","Stardust",4.08,"Romance, Fantasy, Fiction, Young Adult, Adventure","Neil Gaiman",248,"$11.50","8/29/06",3239,11129,57973,121986,115257,61917
"53","The Color of Magic",3.99,"Fiction, Humor, Fantasy","Terry Pratchett",228,"$9.02","9/13/05",4606,13520,58863,96344,97467,54160
"54","All Together Dead",4.06,"Mystery, Urban Fantasy, Paranormal, Vampires, Romance, Fiction, Fantasy","Charlaine Harris",323,"$9.89","5/1/07",1168,5983,39271,68922,64661,36001
"55","Carrie",3.95,"Horror, Paranormal, Fiction, Thriller, Fantasy","Stephen King",253,"$17.49","11/1/05",5299,21740,108933,159794,144490,88051
"56","The Passion",4.11,"GLBT, Fiction, Historical Fiction, Fantasy, Historical, LGBT, Queer, Magical Realism","Jeanette Winterson",176,"$4.99","8/7/97",201,730,2963,6086,6938,3384
"57","All the Bright Places",4.18,"Fiction, Young Adult, Contemporary, Romance","Jennifer Niven",378,"$18.99","1/6/15",4633,9823,31827,66403,103528,43243
"58","The War of the Worlds",3.81,"Science Fiction, Classics, Fiction","H.G. Wells",192,"$5.80","3/12/02",3278,12972,58746,81180,54914,42218
"59","The Three Musketeers",4.07,"Historical Fiction, European Literature, Historical, Cultural, Classics, Fiction, Literature, French Literature, Novels, France, Classic Literature, Adventure","Alexandre Dumas",625,"$4.50","2/13/01",2441,9032,50169,92325,92970,49387
"60","Matilda",4.3,"Fiction, Classics, Childrens, Fantasy","Roald Dahl",240,"$11.90","6/1/98",4892,11688,69856,168600,264279,103863
"61","Hard Times",3.52,"Literature, Classics, 19th Century, Fiction","Charles Dickens",353,"$10.50","10/19/03",1804,5291,16298,16195,8900,9698
"62","The Secret Life of Bees",4.03,"Historical Fiction, Historical, Fiction, Young Adult, Adult Fiction","Sue Monk Kidd",336,"$5.60","1/28/03",18290,47729,197871,379253,383078,205244
"63","The Demigod Files",4.04,"Fantasy, Mythology, Young Adult","Rick Riordan",151,"$8.39","2/10/09",583,3324,15984,21692,27242,13765
"64","The Wind in the Willows",3.99,"European Literature, Childrens, Classics, British Literature, Middle Grade, Fiction, Literature, Young Adult, Animals, Adventure, Fantasy","Kenneth Grahame",256,"$6.44","10/27/05",3256,8351,35349,54434,59452,32168
"65","The Hours",3.93,"Fiction, Historical Fiction, Contemporary, Historical","Michael Cunningham",230,"$7.15","10/26/02",2761,7427,25556,42331,40240,23663
"66","Never Too Far",4.2,"Romance, Contemporary, Young Adult, New Adult, Contemporary Romance","Abbi Glines",193,"$25.81","2/25/13",1496,4193,16514,34772,51175,21630
"67","The Goose Girl",4.17,"Romance, Fiction, Fairy Tales, Young Adult, Fantasy","Shannon Hale",383,"$32.25","5/1/05",2140,3567,16095,36777,48110,21338
"68","The Dream Thieves",4.27,"Fantasy, Paranormal, Young Adult","Maggie Stiefvater",439,"$11.21","9/17/13",1060,2969,14755,41428,54458,22934
"69","White Oleander",3.95,"Fiction, Chick Lit, Contemporary, Womens Fiction","Janet Fitch",446,"$7.71","9/1/01",4234,14579,64620,104600,93237,56254
"70","The Cat in the Hat",4.16,"Humor, Childrens, Cats, Classics, Fiction, Poetry, Picture Books, Kids, Animals, Fantasy","Dr. Seuss",61,"$2.94","4/26/85",7467,16338,63451,95875,176656,71957
"71","Me Talk Pretty One Day",3.98,"Humor, Nonfiction, Memoir, Short Stories, Autobiography, Essays, Writing","David Sedaris",272,"$4.16","4/26/01",21416,31583,101961,194554,217250,113353
"72","Master of the Game",4.11,"Mystery, Suspense, Thriller, Fiction","Sidney Sheldon",489,"$21.14","4/26/93",404,1713,9056,17095,18777,9409
"73","The Mists of Avalon",4.12,"Historical Fiction, Historical, Arthurian, Fiction, Science Fiction Fantasy, Mythology, Fantasy","Marion Zimmer Bradley",884,"$16.58","4/12/84",3757,8501,29375,55497,79131,35252
"74","Ringworld",3.96,"Science Fiction Fantasy, Science Fiction, Fiction","Larry Niven",288,"$99.95","6/9/05",1373,5314,20851,34371,31888,18759
"75","The Cider House Rules",4.12,"Historical Fiction, Historical, Classics, Fiction, Literature","John Irving",973,"$8.15","7/1/00",1357,4602,25262,60367,55981,29514
"76","The Vampire Armand",3.76,"Fiction, Historical Fiction, Fantasy, Adult, Paranormal, Urban Fantasy, Gothic, Historical, Supernatural, Horror, Vampires","Anne Rice",457,"$0.99","10/3/00",1184,5026,18047,19884,16891,12206
"77","A Tale of Two Cities",3.83,"Historical Fiction, Historical, Classics, Fiction, Literature","Charles Dickens",489,"$21.12","4/26/03",30838,59225,164709,237020,249300,148218
"78","Hopscotch",4.25,"Fiction, European Literature, Spanish Literature, Cultural, Latin American, Classics","Julio Cortíçzar",564,"$17.49","2/12/87",547,1173,3175,6842,13314,5010
"79","Outlander",4.22,"Historical Fiction, Historical Romance, Historical, Romance, Fiction, Science Fiction, Time Travel, Fantasy","Diana Gabaldon",850,"$11.99","7/26/05",24479,32873,86703,177690,381877,140724
"80","The Return of the King",4.52,"Fiction, Classics, Adventure, Fantasy","J.R.R. Tolkien",490,"$5.60","4/26/03",2988,8696,46978,147706,378149,116903
"81","The Beach",3.93,"Travel, Contemporary, Fiction, Thriller, Adventure","Alex Garland",436,"$10.11","2/1/98",892,3477,14471,25666,19615,12824
"82","Christine",3.75,"Horror, Thriller, Fiction","Stephen King",411,"$63.80","6/13/01",3480,14840,52588,55744,49515,35233
"83","The Gunslinger",3.96,"Fiction, Science Fiction, Horror, Fantasy","Stephen King",231,"$69.95","7/26/03",12822,31214,92724,138504,176950,90443
"84","The House of Hades",4.55,"Young Adult, Mythology, Fantasy","Rick Riordan",597,"$28.14","10/8/13",810,2293,15705,55783,141476,43213
"85","War and Peace",4.11,"Russia, Historical Fiction, Historical, Cultural, Classics, Fiction, Literature","Leo Tolstoy",1392,"$2.99","6/25/98",6787,11559,37640,71545,105717,46650
"86","House of Sand and Fog",3.84,"Fiction, Contemporary","Andre Dubus III",384,"$5.60","3/31/11",3381,7795,26754,42512,34577,23004
"87","The Iron King",3.91,"Young Adult, Romance, Paranormal, Fantasy","Julie Kagawa",363,"$165.99","1/19/10",6271,12413,37181,54005,65197,35013
"88","James and the Giant Peach",4,"Fiction, Classics, Childrens, Fantasy","Roald Dahl",146,"$2.65","9/10/02",5354,15021,72679,116860,119860,65955
"89","The Amber Spyglass",4.08,"Fiction, Young Adult, Fantasy","Philip Pullman",467,"$10.93","9/9/03",5164,13089,43793,80850,106637,49907
"90","The Golden Compass",3.96,"Fiction, Young Adult, Fantasy","Philip Pullman",399,"$38.72","4/16/96",41435,70228,220233,354745,441831,225694
"91","His Dark Materials",4.26,"Fiction, Young Adult, Fantasy","Philip Pullman",1088,"$175.00","9/23/03",2033,4165,14955,35158,60081,23278
"92","Neverwhere",4.18,"Fiction, Science Fiction Fantasy, Urban Fantasy, Fantasy","Neil Gaiman",370,"$94.95","9/2/03",4178,11909,57043,137693,158095,73784
"93","American Gods",4.11,"Fiction, Urban Fantasy, Mythology, Fantasy","Neil Gaiman",635,"$225.00","3/4/05",12643,31484,104725,223889,280001,130548
"94","Coraline",4.05,"Horror, Childrens, Fiction, Young Adult, Fantasy","Neil Gaiman",162,"$32.95","8/29/06",8691,17362,77058,148674,158369,82031
"95","The Great Hunt",4.22,"Science Fiction Fantasy, Epic Fantasy, Fiction, Magic, Fantasy, Adult, Audiobook, Epic, Adventure, High Fantasy","Robert Jordan",705,"$13.51","10/15/91",1902,5366,27314,72361,87093,38807
"96","Cat's Cradle",4.17,"Humor, Classics, Fiction, Science Fiction, Literature","Kurt Vonnegut",306,"$12.93","4/26/99",3124,9705,49397,115122,130745,61619
"97","Possession",3.89,"Historical Fiction, Mystery, Historical, Classics, Romance, Fiction","A.S. Byatt",555,"$5.80","10/1/91",2528,4963,13185,21498,23186,13072
"98","The Memory Keeper's Daughter",3.65,"Fiction, Contemporary, Adult Fiction, Adult","Kim Edwards",401,"$9.24","5/30/06",19653,47924,149967,190767,120769,105816
"99","The Lord of the Rings",4.49,"Epic Fantasy, Young Adult, Classics, Fantasy, High Fantasy, Fiction, Literature, Novels, Science Fiction Fantasy, Adventure","J.R.R. Tolkien",1216,"$0.99","10/12/05",5191,10334,41091,118571,320648,99167
"100","The Accidental Tourist",3.91,"Romance, Adult Fiction, Contemporary, Fiction, Literature, Adult, Literary Fiction, Novels, Classics, American","Anne Tyler",352,"$17.18","4/9/02",1180,4718,21866,35436,26671,17974
"101","Harry Potter and the Chamber of Secrets",4.41,"Fiction, Young Adult, Fantasy","J.K. Rowling",341,"$17.53","6/2/99",9786,45807,267818,638941,1314651,455401
"102","Harry Potter and the Prisoner of Azkaban",4.55,"Fiction, Young Adult, Fantasy","J.K. Rowling",435,"$1.73","5/1/04",8017,22386,181090,577006,1536115,464923
"103","Harry Potter and the Goblet of Fire",4.55,"Fiction, Young Adult, Fantasy","J.K. Rowling",734,"$3.74","9/28/02",7732,22107,165659,556624,1424229,435270
"104","Bone Crossed",4.34,"Romance, Werewolves, Fantasy, Paranormal, Urban Fantasy, Vampires, Shapeshifters","Patricia Briggs",300,"$10.01","4/26/10",264,1017,10352,32663,43266,17512
"105","Circle of Five",4.19,"Fiction, Fantasy, Young Adult, Science Fiction, Paranormal, Aliens, Adventure","Jan Raymond",352,"$62.99","1/8/14",12,14,42,66,164,60
"106","Confessions of a Shopaholic",3.63,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction","Sophie Kinsella",368,"$7.40","11/4/03",31829,59274,164709,178033,159050,118579
"107","Number the Stars",4.13,"Historical Fiction, Historical, Childrens, Classics, Fiction, Young Adult","Lois Lowry",137,"$15.51","2/9/98",4355,13982,69586,138695,161740,77672
"108","Holes",3.95,"Fiction, Young Adult, Middle Grade, Childrens","Louis Sachar",233,"$5.25 to $6.57","9/2/00",17679,48399,194036,300931,300064,172222
"109","The Outsiders",4.08,"Realistic Fiction, Academic, Historical Fiction, Teen, Historical, Contemporary, School, Classics, Fiction, Coming Of Age, Read For School, Young Adult","S.E. Hinton",192,"$2.98","9/1/97",11871,38765,152370,265439,330951,159879
"110","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25,"Fiction, Humor, Urban Fantasy, Fantasy","Terry Pratchett",412,"$1.25","11/28/06",6631,13867,55577,125447,203775,81059
"111","Bloodlines",4.21,"Paranormal, Vampires, Romance, Young Adult, Fantasy","Richelle Mead",421,"$51.62","8/23/11",3313,5329,22864,48511,77021,31408
"112","Bloodlines",3.7,"Young Adult, Fantasy, Paranormal, Horror, Vampires","Lindsay Anne Kendal",320,"$51.62","4/29/10",87,92,177,227,347,186
"113","Winter of the World",4.32,"Historical, Fiction, Historical Fiction","Ken Follett",940,"$12.83","9/18/12",570,2033,12584,40590,53097,21775
"114","Towers of Midnight",4.43,"Fantasy, Epic Fantasy, Fiction","Robert Jordan",863,"$6.50","11/2/10",952,1870,9978,34214,64255,22254
"115","The Sirens of Titan",4.16,"Science Fiction, Classics, Fiction","Kurt Vonnegut",224,"$44.99","9/9/99",708,3190,16935,36990,41400,19845
"116","Archangel's Kiss",4.24,"Romance, Fantasy, Paranormal, Angels, Urban Fantasy, Vampires, Paranormal Romance","Nalini Singh",323,"$3.78","2/2/10",387,1372,6649,15328,21098,8967
"117","The Sword in the Stone",3.91,"Fiction, Historical Fiction, Fantasy, Young Adult, Childrens, Arthurian, Historical, Mythology, Classics, Adventure","T.H. White",352,"$8.41","11/2/98",504,1273,5054,7763,7133,4345
"118","A Bend in the Road",4.03,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction","Nicholas Sparks",341,"$13.94","4/1/05",1527,5960,28961,45738,48927,26223
"119","The Notebook",4.08,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction","Nicholas Sparks",214,"$55.66","7/5/04",43553,67483,189337,324252,550733,235072
"120","The House on Mango Street",3.61,"Short Stories, Fiction, Young Adult, Academic, School, Classics","Sandra Cisneros",110,"$3.99","4/3/09",4547,10636,30090,35628,24228,21026
"121","Animal Dreams",4.06,"Novels, Contemporary, Literary Fiction, Fiction","Barbara Kingsolver",342,"$7.46","4/26/91",387,1742,11649,23972,19711,11492
"122","Starters",3.91,"Romance, Mystery, Fiction, Young Adult, Fantasy, Dystopia, Apocalyptic, Science Fiction, Post Apocalyptic, Futuristic, Teen","Lissa Price",352,"$130.00","3/13/12",787,2391,8850,14274,12335,7727
"123","Fool's Fate",4.4,"Magic, Fiction, Fantasy, Dragons, Epic","Robin Hobb",914,"$5.94","11/23/04",270,834,5754,18750,31219,11365
"124","The Kite Runner",4.28,"Fiction, Historical Fiction, Contemporary, Historical","Khaled Hosseini",371,"$1.40","5/1/04",37243,65238,247177,704134,1092561,429271
"125","Pet Sematary",3.96,"Horror, Fiction, Thriller","Stephen King",576,"$3.16","11/1/05",5034,18596,81016,122351,118560,69111
"126","The Dark Tower",4.28,"Fiction, Science Fiction, Horror, Fantasy","Stephen King",1050,"$5.50","9/1/06",1836,4384,15865,37773,65815,25135
"127","The Godfather",4.37,"Mystery, Historical Fiction, Historical, Classics, Fiction, Crime, Thriller","Mario Puzo",448,"$45.75","3/1/02",3074,6387,31849,90808,163079,59039
"128","Winter",4.48,"Fantasy, Romance, Science Fiction, Young Adult","Marissa Meyer",827,"$0.84","11/10/15",488,1969,12940,46102,91178,30535
"129","The Source",4.3,"Fiction, Historical Fiction, Israel, Religion, Cultural, Historical","James A. Michener",1104,"$103.19","7/9/02",336,1003,4852,11352,18836,7276
"130","The Old Man and the Sea",3.76,"Fiction, Novels, Classics, Literature","Ernest Hemingway",132,"$98.60","4/26/96",33176,61400,162401,227604,213848,139686
"131","1984",4.17,"Academic, Adult, School, Classics, Fiction, Science Fiction, Politics, Literature, Novels, Dystopia, Fantasy","George Orwell",326,"$40.02","7/1/50",51488,102419,384254,848361,1174185,512141
"132","Animal Farm",3.91,"Fiction, Fantasy, Dystopia, Science Fiction, Classics","George Orwell",144,"$5.60","4/26/96",74122,148275,484290,817920,800062,464934
"133","Girl with a Pearl Earring",3.87,"Historical Fiction, Historical, Adult, Classics, Romance, Art, Fiction, Literature, Novels, Adult Fiction","Tracy Chevalier",233,"$5.06 to $10.22","4/26/05",14359,31681,136210,213390,168391,112806
"134","Great Expectations",3.76,"Historical Fiction, Historical, Classics, Fiction, Literature","Charles Dickens",505,"$59.37","4/26/98",25832,49642,135398,194995,174995,116172
"135","Great Expectations",3.76,"Historical Fiction, Historical, Classics, Fiction, Literature","Charles Dickens",512,"$59.37","12/31/02",25832,49642,135398,194995,174995,116172
"136","A Separate Peace",3.57,"Academic, Historical Fiction, Historical, School, Classics, Fiction, Young Adult","John Knowles",208,"$14.41","9/30/03",9095,19908,49624,58574,40206,35481
"137","The Surgeon",4.1,"Mystery, Fiction, Thriller, Suspense, Crime","Tess Gerritsen",416,"$5.60","4/26/05",1874,4033,20947,42294,45824,22994
"138","River Secrets",4.04,"Fantasy, Fiction, Romance, Young Adult","Shannon Hale",290,"$7.98","9/5/06",359,1073,6808,12335,11257,6366
"139","The Clan of the Cave Bear",4.04,"Fiction, Historical Fiction, Historical, Fantasy","Jean M. Auel",512,"$124.99","6/25/02",4238,10757,39971,70296,81742,41401
"140","The Valley of Horses",4,"Historical Fiction, Historical, Romance, Fiction, Fantasy","Jean M. Auel",544,"$10.04","6/25/02",791,3448,14909,24558,23876,13516
"141","Silver Shadows",4.36,"Romance, Young Adult, Fantasy, Paranormal, Vampires","Richelle Mead",380,"$7.18","7/29/14",274,1024,5589,15158,25559,9521
"142","Something Wicked This Way Comes",3.95,"Horror, Classics, Science Fiction, Fiction, Fantasy","Ray Bradbury",293,"$44.99","3/1/98",1338,4663,18762,31955,27698,16883
"143","Eva Luna",3.96,"Historical, Magical Realism, Fiction, Historical Fiction","Isabel Allende",307,"$2.85","8/1/89",298,1468,8251,14300,10633,6990
"144","The Complete Fairy Tales",4.28,"Fiction, Fantasy, Childrens, Fairy Tales, Classics","Hans Christian Andersen",803,"$14.11","1/26/96",842,2686,17814,37162,58518,23404
"145","Mystic River",4.18,"Suspense, Mystery, Contemporary, Mystery Thriller, Drama, Fiction, Crime, Detective, Thriller, Novels","Dennis Lehane",416,"$9.48","2/1/01",1443,3093,16069,43385,46998,22198
"146","About a Boy",3.8,"Humor, Contemporary, Fiction","Nick Hornby",307,"$25.40","4/26/00",1173,5870,33729,52035,24874,23536
"147","Wonder",4.45,"Realistic Fiction, Contemporary, Childrens, Middle Grade, Fiction, Young Adult","R.J. Palacio",410,"$10.35","1/3/13",6154,11070,50059,159494,353981,116152
"148","Wonder",4.45,"Contemporary, Fiction, Young Adult, Childrens, Realistic Fiction, Middle Grade","R.J. Palacio",315,"$10.35","2/14/12",6155,11073,50065,159529,354025,116169
"149","The Neverending Story",4.18,"Childrens, Classics, Fiction, Young Adult, Fantasy","Michael Ende",396,"$38.88","4/26/97",1872,5256,23501,44566,65612,28161
"150","The Hobbit or There and Back Again",4.26,"Fiction, Classics, Adventure, Fantasy","J.R.R. Tolkien",366,"$14.02","8/15/02",50916,84312,319827,752453,1302460,501994
"151","The Fellowship of the Ring",4.35,"Fiction, Classics, Fantasy","J.R.R. Tolkien",398,"$24.00","9/5/03",42139,61253,222756,553966,1205033,417029
"152","She's Come Undone",3.86,"Fiction, Chick Lit, Contemporary, Womens Fiction","Wally Lamb",465,"$49.99","6/28/98",10675,21098,63133,98633,97483,58204
"153","The Hitchhiker's Guide to the Galaxy",4.22,"Humor, Classics, Science Fiction, Fiction, Fantasy","Douglas Adams",216,"$1.06","4/26/17",25648,49290,171008,358231,610064,242848
"154","Safe Haven",4.2,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction","Nicholas Sparks",340,"$4.98","9/14/10",3360,10313,49749,101268,142823,61503
"155","Nicholas Nickleby",3.91,"Literature, Classics, Fiction","Charles Dickens",817,"$32.27","4/26/03",748,2075,8908,13736,11806,7455
"156","Snow Falling on Cedars",3.83,"Fiction, Historical Fiction, Historical, Mystery","David Guterson",460,"$6.63","9/26/95",2774,9833,39604,61723,40967,30980
"157","Catch-22",3.98,"Humor, Historical Fiction, Historical, Classics, Fiction, War","Joseph Heller",453,"$11.67","9/4/04",23476,42809,118871,209175,261464,131159
"158","Angela's Ashes",4.09,"Autobiography, Biography, Nonfiction, Memoir","Frank McCourt",452,"$22.15","10/3/05",9115,20558,81386,175987,195386,96486
"159","The Shipping News",3.85,"Fiction, Contemporary, Literature","Annie Proulx",337,"$600.00","4/26/02",3563,8710,27183,44970,37366,24358
"160","The Painted Bird",3.94,"Fiction, Historical Fiction, Literature, Horror, Historical, World War II, Holocaust, War, Classics","Jerzy KosiÅ‹ski",234,"$650.00","8/9/95",560,1119,3645,6622,6419,3673
"161","The Voyage of the Dawn Treader",4.09,"Childrens, Classics, Fiction, Young Adult, Fantasy","C.S. Lewis",248,"$39.99","9/1/06",2907,13587,75525,123952,143968,71988
"162","Zorba the Greek",4.08,"Fiction, Literature, Philosophy, Novels, Classics","Nikos Kazantzakis",335,"$5.60","4/3/00",738,1667,5055,9924,13109,6099
"163","The Kitchen God's Wife",4,"Historical Fiction, Contemporary, Historical, Cultural, Asia, Fiction, China","Amy Tan",416,"$9.52","9/21/06",400,2028,15306,29731,20567,13606
